,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
1,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
2,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
3,Allergy,apply calamine,cover area with bandage,0,use ice to compress itching
4,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
5,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
6,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
7,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
8,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
9,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
10,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
11,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
12,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
13,Diabetes ,have balanced diet,exercise,consult doctor,follow up
14,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
15,Hypertension ,meditation,salt baths,reduce stress,get proper sleep
16,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
17,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
18,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
19,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
20,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
21,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
22,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
23,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
24,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
25,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
26,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
27,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
28,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
29,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
30,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
31,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
32,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
33,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
34,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
35,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
36,Hepatitis D,consult doctor,medication,eat healthy,follow up
37,Heart attack,call ambulance,chew or swallow asprin,keep calm,0
38,Pneumonia,consult doctor,medication,rest,follow up
39,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
40,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
41,Tuberculosis,cover mouth,consult doctor,medication,rest
