,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
2,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,0
3,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,0
4,Fungal infection,itching, skin_rash, dischromic _patches,0
5,Fungal infection,itching, skin_rash, nodal_skin_eruptions,0
6,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,0
7,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,0
8,Fungal infection,itching, skin_rash, dischromic _patches,0
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions,0
10,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
11,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
12,Allergy, shivering, chills, watering_from_eyes,0
13,Allergy, continuous_sneezing, chills, watering_from_eyes,0
14,Allergy, continuous_sneezing, shivering, watering_from_eyes,0
15,Allergy, continuous_sneezing, shivering, chills,0
16,Allergy, shivering, chills, watering_from_eyes,0
17,Allergy, continuous_sneezing, chills, watering_from_eyes,0
18,Allergy, continuous_sneezing, shivering, watering_from_eyes,0
19,Allergy, continuous_sneezing, shivering, chills,0
20,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
21,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
22,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
23,GERD, stomach_pain, acidity, vomiting, cough
24,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
25,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
26,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
27,GERD, acidity, ulcers_on_tongue, vomiting, cough
28,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
29,GERD, stomach_pain, acidity, vomiting, cough
30,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
31,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
32,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
33,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
34,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
35,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
36,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
37,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
38,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
39,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
40,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
41,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
42,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
43,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
44,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
45,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
46,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
47,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
48,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
